URL,FILE SIZE,OUTGOING URLS,CONTENT-TYPE
http://www.nydailynews.com/autos/ford/ford-mustang-2015-1.2078707,36689,110,text/html
http://www.nydailynews.com/new-york/nyc-body-painting-day-gallery-1.3347783,66968,22,text/html
http://www.nydailynews.com/entertainment/music/kanye-west-won-host-yeezy-season-6-show-nyfw-article-1.3477821,88510,111,text/html
http://www.nydailynews.com/autos/news/2017-genesis-g80-strong-safety-ratings-iihs-nhtsa-article-1.2840205,86427,116,text/html
http://www.nydailynews.com/new-york/blm-leader-rips-sba-boss-backing-nypd-indicted-killing-article-1.3365048,92283,112,text/html
http://www.nydailynews.com/tags/charles-tillman,95754,108,text/html
http://www.nydailynews.com/amp/life-style/start-saving-experience-wonders-compound-interest-article-1.3437215,31487,32,text/html
http://www.nydailynews.com/sports/college/lupica-charles-barkley-takes-charge-issues-article-1.2173995,98670,117,text/html
http://www.nydailynews.com/newswires/news/national/south-korea-confirms-traces-radioactive-gas-north-korea-nuclear-test-article-1.3491764,86566,108,text/html
http://www.nydailynews.com/autos/fiat/details/pricing/fiat-500x-2017-1.2816960?vtype=price,34477,107,text/html
http://www.nydailynews.com/autos/tags/buying-tips/stories/2,69625,155,text/html
http://www.nydailynews.com/autos/news/mercedes-benz-debuts-eqa-concept-bmw-vision-concept-article-1.3493488,95980,121,text/html
http://www.nydailynews.com/newswires/sports/aaron-hernandez-severe-cte-daughter-sues-nfl-pats-article-1.3511910,90879,108,text/html
http://www.nydailynews.com/autos/tags/buying-tips/stories/3,60989,119,text/html
http://www.nydailynews.com/tags/auto-videos,107134,154,text/html
http://www.nydailynews.com/tags/stephen-bannon,109408,160,text/html
http://www.nydailynews.com/autos/eye-candy-mercedes-amg-gt-concept-gallery-1.2991974,26873,20,text/html
http://www.nydailynews.com/amp/life-style/3-ways-best-leaders-set-rest-article-1.3452582,28438,34,text/html
http://www.nydailynews.com/news/the-week?pdate=20170920,83783,284,text/html
http://www.nydailynews.com/autos/lexus/lexus-2017-1.2856526,34986,113,text/html
http://www.nydailynews.com/amp/sports/football/giants/seahawks-giants-small-23-0-beating-gallery-1.1548622,36258,30,text/html
http://www.nydailynews.com/autos/ford/details/specs/ford-explorer-2017-1.2774231?vtype=specs,34522,107,text/html
http://www.nydailynews.com/news/politics/exclusive-pols-feds-ease-puerto-rico-health-crunch-article-1.2324058,88062,110,text/html
http://www.nydailynews.com/sports/hockey/rangers/eyes-henrik-lundqvist-rangers-open-playoff-run-article-1.3044064,89364,113,text/html
http://www.nydailynews.com/entertainment/usain-bolt-wild-antics-gallery-1.2764127,68352,22,text/html
http://www.nydailynews.com/tags/new-food,106426,153,text/html
http://www.nydailynews.com/news/world/searches-continue-mexico-city-rocked-deadly-quake-article-1.3508278,95106,118,text/html
http://www.nydailynews.com/entertainment/gossip/kelly-accuser-recalls-trained-sexually-article-1.3504490,88994,114,text/html
http://www.nydailynews.com/tags/justin-bieber/stories/11,110137,171,text/html
http://www.nydailynews.com/news/rhino-overcomes-sedation-tagging-process-kenya-gallery-1.3455523,67725,21,text/html
http://www.nydailynews.com/autos/gallery-2017-cadillac-ats-photos-gallery-1.3374810,27064,20,text/html
http://www.nydailynews.com/tags/earthquakes,106550,154,text/html
http://www.nydailynews.com/news/world/hundreds-evacuated-london-towers-grenfel-tower-fire-article-1.3274380,93502,118,text/html
http://www.nydailynews.com/amp/autos/latest-reviews/first-drive-2017-ram-power-wagon-article-1.2963665,34624,34,text/html
http://www.nydailynews.com/autos/ford/ford-transit-2017-1.2896483,34507,109,text/html
http://www.nydailynews.com/amp/sports/football/giants/jackie-slater-sees-hof-level-drive-giants-ot-chad-wheeler-article-1.3509918,32985,33,text/html
http://www.nydailynews.com/tags/north-carolina,107169,160,text/html
http://www.nydailynews.com/news/crime/teen-fatally-shoots-mother-disagreement-puppy-article-1.3488864,89067,108,text/html
http://www.nydailynews.com/newswires/entertainment/kid-rock-opens-detroit-arena-no-political-announcement-article-1.3489698,89852,107,text/html
http://www.nydailynews.com/autos/lexus/lexus-gx-2015-1.2162453,36179,110,text/html
http://www.nydailynews.com/newswires/entertainment/jimmy-kimmel-senator-lied-face-health-care-article-1.3508474,89737,108,text/html
http://www.nydailynews.com/autos/latest-reviews/2017-honda-ridgeline-off-road-article-1.2650047,98584,119,text/html
http://www.nydailynews.com/new-york/nyc-crime/tip-leads-rescue-tortured-pups-brooklyn-owner-arrest-article-1.3496708,87323,110,text/html
