17/10/15 18:49:45 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.1-hadoop2
17/10/15 18:49:45 INFO client.RMProxy: Connecting to ResourceManager at cluster-3ec8-m/10.138.0.2:8032
17/10/15 18:49:46 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/10/15 18:49:47 WARN gcsio.GoogleCloudStorage: Repairing batch of 1 missing directories.
17/10/15 18:49:47 WARN gcsio.GoogleCloudStorage: Successfully repaired 1/1 implicit directories.
17/10/15 18:49:48 INFO input.FileInputFormat: Total input files to process : 3035
17/10/15 18:49:49 INFO mapreduce.JobSubmitter: number of splits:3035
17/10/15 18:49:49 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1508090916211_0003
17/10/15 18:49:49 INFO impl.YarnClientImpl: Submitted application application_1508090916211_0003
17/10/15 18:49:49 INFO mapreduce.Job: The url to track the job: http://cluster-3ec8-m:8088/proxy/application_1508090916211_0003/
17/10/15 18:49:49 INFO mapreduce.Job: Running job: job_1508090916211_0003
17/10/15 18:49:56 INFO mapreduce.Job: Job job_1508090916211_0003 running in uber mode : false
17/10/15 18:49:56 INFO mapreduce.Job:  map 0% reduce 0%
17/10/15 18:50:43 INFO mapreduce.Job:  map 1% reduce 0%
17/10/15 18:52:01 INFO mapreduce.Job:  map 2% reduce 0%
17/10/15 18:53:15 INFO mapreduce.Job:  map 3% reduce 0%
17/10/15 18:54:26 INFO mapreduce.Job:  map 4% reduce 0%
17/10/15 18:55:37 INFO mapreduce.Job:  map 5% reduce 0%
17/10/15 18:56:49 INFO mapreduce.Job:  map 6% reduce 0%
17/10/15 18:57:59 INFO mapreduce.Job:  map 7% reduce 0%
17/10/15 18:59:06 INFO mapreduce.Job:  map 8% reduce 0%
17/10/15 19:00:15 INFO mapreduce.Job:  map 9% reduce 0%
17/10/15 19:01:26 INFO mapreduce.Job:  map 10% reduce 0%
17/10/15 19:02:32 INFO mapreduce.Job:  map 11% reduce 0%
17/10/15 19:03:45 INFO mapreduce.Job:  map 12% reduce 0%
17/10/15 19:04:57 INFO mapreduce.Job:  map 13% reduce 0%
17/10/15 19:06:06 INFO mapreduce.Job:  map 14% reduce 0%
17/10/15 19:07:14 INFO mapreduce.Job:  map 15% reduce 0%
17/10/15 19:08:22 INFO mapreduce.Job:  map 16% reduce 0%
17/10/15 19:09:27 INFO mapreduce.Job:  map 17% reduce 0%
17/10/15 19:10:36 INFO mapreduce.Job:  map 18% reduce 0%
17/10/15 19:11:42 INFO mapreduce.Job:  map 19% reduce 0%
17/10/15 19:12:47 INFO mapreduce.Job:  map 20% reduce 0%
17/10/15 19:13:54 INFO mapreduce.Job:  map 21% reduce 0%
17/10/15 19:15:03 INFO mapreduce.Job:  map 22% reduce 0%
17/10/15 19:16:05 INFO mapreduce.Job:  map 23% reduce 0%
17/10/15 19:17:18 INFO mapreduce.Job:  map 24% reduce 0%
17/10/15 19:18:23 INFO mapreduce.Job:  map 25% reduce 0%
17/10/15 19:19:30 INFO mapreduce.Job:  map 26% reduce 0%
17/10/15 19:20:38 INFO mapreduce.Job:  map 27% reduce 0%
17/10/15 19:21:44 INFO mapreduce.Job:  map 28% reduce 0%
17/10/15 19:22:49 INFO mapreduce.Job:  map 29% reduce 0%
17/10/15 19:23:55 INFO mapreduce.Job:  map 30% reduce 0%
17/10/15 19:25:00 INFO mapreduce.Job:  map 31% reduce 0%
17/10/15 19:26:07 INFO mapreduce.Job:  map 32% reduce 0%
17/10/15 19:27:14 INFO mapreduce.Job:  map 33% reduce 0%
17/10/15 19:28:18 INFO mapreduce.Job:  map 34% reduce 0%
17/10/15 19:29:29 INFO mapreduce.Job:  map 35% reduce 0%
17/10/15 19:30:32 INFO mapreduce.Job:  map 36% reduce 0%
17/10/15 19:31:38 INFO mapreduce.Job:  map 37% reduce 0%
17/10/15 19:32:45 INFO mapreduce.Job:  map 38% reduce 0%
17/10/15 19:33:50 INFO mapreduce.Job:  map 39% reduce 0%
17/10/15 19:34:55 INFO mapreduce.Job:  map 40% reduce 0%
17/10/15 19:35:59 INFO mapreduce.Job:  map 41% reduce 0%
17/10/15 19:37:03 INFO mapreduce.Job:  map 42% reduce 0%
17/10/15 19:38:09 INFO mapreduce.Job:  map 43% reduce 0%
17/10/15 19:39:13 INFO mapreduce.Job:  map 44% reduce 0%
17/10/15 19:40:17 INFO mapreduce.Job:  map 45% reduce 0%
17/10/15 19:41:21 INFO mapreduce.Job:  map 46% reduce 0%
17/10/15 19:42:30 INFO mapreduce.Job:  map 47% reduce 0%
17/10/15 19:43:32 INFO mapreduce.Job:  map 48% reduce 0%
17/10/15 19:44:36 INFO mapreduce.Job:  map 49% reduce 0%
17/10/15 19:45:44 INFO mapreduce.Job:  map 50% reduce 0%
17/10/15 19:46:50 INFO mapreduce.Job:  map 51% reduce 0%
17/10/15 19:47:58 INFO mapreduce.Job:  map 52% reduce 0%
17/10/15 19:49:00 INFO mapreduce.Job:  map 53% reduce 0%
17/10/15 19:50:14 INFO mapreduce.Job:  map 54% reduce 0%
17/10/15 19:51:17 INFO mapreduce.Job:  map 55% reduce 0%
17/10/15 19:52:22 INFO mapreduce.Job:  map 56% reduce 0%
17/10/15 19:53:24 INFO mapreduce.Job:  map 57% reduce 0%
17/10/15 19:54:31 INFO mapreduce.Job:  map 58% reduce 0%
17/10/15 19:55:35 INFO mapreduce.Job:  map 59% reduce 0%
17/10/15 19:56:38 INFO mapreduce.Job:  map 60% reduce 0%
17/10/15 19:57:44 INFO mapreduce.Job:  map 61% reduce 0%
17/10/15 19:58:47 INFO mapreduce.Job:  map 62% reduce 0%
17/10/15 19:59:54 INFO mapreduce.Job:  map 63% reduce 0%
17/10/15 20:01:00 INFO mapreduce.Job:  map 64% reduce 0%
17/10/15 20:02:02 INFO mapreduce.Job:  map 65% reduce 0%
17/10/15 20:03:03 INFO mapreduce.Job:  map 66% reduce 0%
17/10/15 20:04:09 INFO mapreduce.Job:  map 67% reduce 0%
17/10/15 20:05:09 INFO mapreduce.Job:  map 68% reduce 0%
17/10/15 20:06:11 INFO mapreduce.Job:  map 69% reduce 0%
17/10/15 20:07:12 INFO mapreduce.Job:  map 70% reduce 0%
17/10/15 20:08:15 INFO mapreduce.Job:  map 71% reduce 0%
17/10/15 20:09:18 INFO mapreduce.Job:  map 72% reduce 0%
17/10/15 20:10:18 INFO mapreduce.Job:  map 73% reduce 0%
17/10/15 20:11:16 INFO mapreduce.Job:  map 74% reduce 0%
17/10/15 20:12:26 INFO mapreduce.Job:  map 75% reduce 0%
17/10/15 20:13:26 INFO mapreduce.Job:  map 76% reduce 0%
17/10/15 20:14:29 INFO mapreduce.Job:  map 77% reduce 0%
17/10/15 20:15:29 INFO mapreduce.Job:  map 78% reduce 0%
17/10/15 20:16:30 INFO mapreduce.Job:  map 79% reduce 0%
17/10/15 20:17:36 INFO mapreduce.Job:  map 80% reduce 0%
17/10/15 20:18:39 INFO mapreduce.Job:  map 81% reduce 0%
17/10/15 20:19:43 INFO mapreduce.Job:  map 82% reduce 0%
17/10/15 20:20:51 INFO mapreduce.Job:  map 83% reduce 0%
17/10/15 20:21:55 INFO mapreduce.Job:  map 84% reduce 0%
17/10/15 20:22:59 INFO mapreduce.Job:  map 85% reduce 0%
17/10/15 20:24:04 INFO mapreduce.Job:  map 86% reduce 0%
17/10/15 20:25:07 INFO mapreduce.Job:  map 87% reduce 0%
17/10/15 20:26:11 INFO mapreduce.Job:  map 88% reduce 0%
17/10/15 20:27:17 INFO mapreduce.Job:  map 89% reduce 0%
17/10/15 20:28:24 INFO mapreduce.Job:  map 90% reduce 0%
17/10/15 20:29:23 INFO mapreduce.Job:  map 91% reduce 0%
17/10/15 20:30:30 INFO mapreduce.Job:  map 92% reduce 0%
17/10/15 20:31:34 INFO mapreduce.Job:  map 93% reduce 0%
